missing in en: 47

appointment_card_ticket	Vé hẹn xem hàng
badge_review_load_error	Không tải được huy hiệu. Thử lại sau.
badge_review_required	Chọn ít nhất 1 huy hiệu để gửi đánh giá
badge_review_subtitle	Chọn tối đa 3 huy hiệu thể hiện trải nghiệm của bạn
badge_review_title	Tặng huy hiệu cho người bán
browse_location_chip	Khu vực: %1$@
browse_location_pick	Chọn khu vực
chat_detail_back_cd	Quay lại
chat_detail_back_inbox_unread_cd	Quay lại hộp thư · %d tin nhắn chưa đọc ở các cuộc trò chuyện khác
chat_detail_header_profile_cd	Xem trang người bán
chat_detail_other_inbox_unread	%d tin nhắn chưa đọc ở các cuộc trò chuyện khác
chat_quick_replies_label	Gửi nhanh
chat_quick_reply_available	Còn hàng không ạ?
chat_quick_reply_meetup	Mình có thể gặp ở đâu?
chat_quick_reply_photos	Bạn có thêm ảnh không?
explore_interest_chips_label	Lọc nhanh theo style
home_section_for_you_subtitle	Dựa trên hoạt động gần đây
home_section_for_you_title	Gợi ý riêng cho bạn
home_section_similar_to_saved_subtitle	Vì bạn đã lưu đồ phong cách này
home_section_similar_to_saved_title	Tương tự món đã lưu
home_section_trending_styles_subtitle	Chọn để lọc trên Khám phá ngay
home_section_trending_styles_title	Style đang hot
listing_badge_just_listed	Vừa đăng
listing_badge_saved_count	%1$d lượt lưu
listing_commitment_badge	Check tại chỗ
listing_commitment_body	Tôi đồng ý cho người mua kiểm tra đồ tại chỗ và hủy giao dịch không mất phí nếu hàng không đúng mô tả.
listing_commitment_title	Cam kết giao dịch an toàn
onboarding_aesthetic_error	Không lưu được phong cách. Thử lại.
onboarding_sizing_optional_hint	Tùy chọn — điền để gợi ý size phù hợp hơn.
onboarding_sizing_screen_title	Kích thước
onboarding_username_screen_title	Tên người dùng
post_condition_defect_photo_hint	Nhớ chụp ảnh chi tiết các khuyết điểm đã chọn.
post_condition_defects_label	Khuyết điểm (nếu có)
post_condition_score_label	Điểm tình trạng: %1$d/99
post_defect_fading	Phai màu
post_defect_missing_button	Thiếu cúc
post_defect_odor	Mùi
post_defect_pilling	Xù lông
post_defect_stains	Vết bẩn
post_defect_worn	Mòn / sờn
product_action_follow_seller	Theo dõi
product_action_following_seller	Đang theo dõi
product_save_nudge	Đã lưu — Nhắn người bán?
product_save_nudge_cta	Nhắn ngay
product_save_nudge_dismiss	Bỏ qua
profile_height_cm	Cao %1$d cm
profile_weight_kg	Nặng %1$@ kg
